id,fecha_utc,latitud,longitud,profundidad_km,magnitud,tipo_magnitud,lugar
us7000m1h9,2024-02-25 13:13:28.817,-21.4541,-70.6527,24.661,4.4,mwr,"84 km NNW of Tocopilla, Chile"
us7000m1ir,2024-02-25 16:50:20.009,-22.1972,-68.6058,110.096,4.8,mwr,"43 km NE of Calama, Chile"
us7000m1rj,2024-02-26 22:51:27.500,-19.2378,-67.3986,227.5,4.1,mb,"75 km WSW of Challapata, Bolivia"
us7000m1sq,2024-02-27 04:43:19.136,-34.9973,-70.9974,104.332,4.4,mb,"20 km SE of Teno, Chile"
us7000m1tf,2024-02-27 08:38:50.193,-23.9438,-66.6481,208.861,4.4,mb,"45 km NW of San Antonio de los Cobres, Argentina"
us7000m1u0,2024-02-27 11:33:58.973,-17.3262,-69.4727,166.923,4.2,mb,"60 km E of Chuquitira, Peru"
us7000m1up,2024-02-27 14:10:44.530,-28.0528,-71.3776,23.085,4.0,mwr,"83 km NW of Vallenar, Chile"
us6000mfgt,2024-02-27 18:08:31.583,-24.3709,-67.1576,156.088,4.4,mb,"86 km W of San Antonio de los Cobres, Argentina"
us6000mfi1,2024-02-27 21:27:26.468,-21.0672,-68.9596,115.539,4.2,mb,"75 km WNW of Ollagüe, Chile"
us6000mfjw,2024-02-28 04:46:40.911,-21.9912,-69.1994,86.263,4.6,mb,"58 km NNW of Calama, Chile"
us6000mfnw,2024-02-28 19:50:43.200,-28.0527,-66.7763,152.267,4.7,mb,"51 km SE of Londres, Argentina"
us6000mfsi,2024-02-29 08:28:30.913,-22.3019,-68.4961,130.233,4.3,mb,"47 km ENE of Calama, Chile"
us6000mft6,2024-02-29 11:31:37.350,-30.3494,-71.5328,41.668,4.4,mb,"42 km NW of Ovalle, Chile"
us6000mfz9,2024-03-01 03:24:42.265,-21.0349,-68.454,145.819,4.2,mb,"29 km NW of Ollagüe, Chile"
us6000mfza,2024-03-01 03:52:43.436,-20.9284,-67.3673,184.866,4.1,mb,"76 km SW of Uyuni, Bolivia"
us6000mfzx,2024-03-01 05:37:36.603,-30.3815,-71.6559,38.051,4.4,mb,"50 km WNW of Ovalle, Chile"
us6000mg88,2024-03-02 00:03:36.298,-31.5934,-71.7132,36.871,3.6,mwr,"51 km W of Illapel, Chile"
us6000mg97,2024-03-02 04:28:53.750,-31.4518,-66.8363,130.957,4.2,mb,"108 km SE of San Agustín de Valle Fértil, Argentina"
us6000mg9x,2024-03-02 07:52:43.151,-30.3449,-71.6322,35.918,4.2,mb,"50 km NW of Ovalle, Chile"
us6000mgbw,2024-03-02 16:05:54.387,-22.5225,-68.0945,157.763,4.4,mb,"44 km NNE of San Pedro de Atacama, Chile"
us6000mgdl,2024-03-03 00:25:14.592,-19.5871,-66.7859,259.385,4.4,mb,"75 km S of Challapata, Bolivia"
us6000mgew,2024-03-03 06:05:31.932,-30.2854,-71.3857,44.09,4.0,ml,"37 km S of Coquimbo, Chile"
us6000mgjy,2024-03-03 23:52:52.868,-20.4639,-69.0329,95.911,3.9,mb,"66 km ESE of La Tirana, Chile"
us6000mgmd,2024-03-04 09:13:07.407,-30.0072,-71.755,32.995,4.4,mwr,"40 km W of Coquimbo, Chile"
us6000mgmp,2024-03-04 11:02:06.413,-21.1123,-68.9263,113.576,4.5,mb,"70 km W of Ollagüe, Chile"
us6000mgpb,2024-03-04 17:45:25.797,-26.5986,-71.5176,10.0,4.1,mb,"145 km NW of Copiapó, Chile"
us6000mgrm,2024-03-04 22:01:31.650,-19.1941,-69.3879,107.862,4.6,mwr,"13 km NNE of Camiña, Chile"
us6000mgt1,2024-03-05 03:12:51.172,-22.8343,-68.2091,134.579,4.1,mb,"8 km N of San Pedro de Atacama, Chile"
us7000m3k1,2024-03-05 20:30:12.072,-22.3351,-70.3886,33.483,4.3,mb,"33 km SW of Tocopilla, Chile"
us7000m3la,2024-03-05 23:35:37.102,-22.5238,-68.6709,122.496,4.0,mb,"27 km ESE of Calama, Chile"
us7000m3mb,2024-03-06 03:58:06.499,-24.4298,-67.2705,193.322,4.4,mb,"99 km WSW of San Antonio de los Cobres, Argentina"
us7000m3nm,2024-03-06 11:10:23.417,-21.1862,-68.7652,115.038,4.4,mb,"53 km W of Ollagüe, Chile"
us7000m3tv,2024-03-07 04:21:31.153,-21.5802,-68.5518,132.607,4.2,mb,"50 km SW of Ollagüe, Chile"
us7000m3yw,2024-03-07 17:04:24.561,-20.8601,-69.8318,47.292,4.6,mb,"60 km SSW of La Tirana, Chile"
us7000m40r,2024-03-07 22:25:44.025,-31.7366,-71.907,35.0,4.2,mb,"70 km W of Illapel, Chile"
us7000m412,2024-03-07 23:29:11.213,-20.5655,-68.9172,105.863,4.3,mb,"81 km ESE of La Tirana, Chile"
us7000m42m,2024-03-08 05:25:03.726,-20.9188,-68.9677,118.841,4.5,mb,"81 km WNW of Ollagüe, Chile"
us7000m42y,2024-03-08 07:40:46.074,-29.2346,-71.2831,49.371,4.6,mwr,"74 km N of La Serena, Chile"
us7000m48k,2024-03-08 18:12:48.590,-34.1298,-70.8907,83.353,4.0,mb,"14 km WNW of Rancagua, Chile"
us7000m4db,2024-03-09 08:57:17.964,-21.6317,-68.422,125.043,4.4,mb,"48 km SSW of Ollagüe, Chile"
us7000m4de,2024-03-09 09:22:28.854,-23.8484,-68.9877,92.951,4.5,mb,"131 km SW of San Pedro de Atacama, Chile"
us7000m4fd,2024-03-09 16:43:11.429,-20.1781,-69.3113,110.074,4.3,mb,"40 km ENE of La Tirana, Chile"
us7000m4ft,2024-03-09 19:23:12.418,-33.2365,-72.9866,13.662,4.5,mwr,"128 km W of Valparaíso, Chile"
us7000m4fz,2024-03-09 19:58:53.199,-22.4356,-68.7624,127.451,4.6,mb,"16 km E of Calama, Chile"
us7000m4j8,2024-03-10 12:16:14.783,-24.1677,-66.9866,177.41,4.4,mb,"68 km W of San Antonio de los Cobres, Argentina"
us7000m4kd,2024-03-10 18:04:38.173,-29.2196,-72.6101,10.0,4.6,mb,"147 km NW of Coquimbo, Chile"
us7000m4kp,2024-03-10 19:52:37.299,-20.921,-69.1363,111.05,4.5,mb,"84 km SE of La Tirana, Chile"
us7000m4kt,2024-03-10 20:12:41.372,-31.5035,-71.4902,49.356,4.2,mb,"33 km WNW of Illapel, Chile"
us7000m4my,2024-03-11 09:30:13.695,-18.2245,-69.952,136.058,3.8,mb,"39 km SE of Tacna, Peru"
us7000m4sw,2024-03-12 03:42:32.387,-33.8366,-72.5373,13.89,5.1,mww,"90 km WSW of San Antonio, Chile"
us6000miii,2024-03-13 04:12:16.293,-27.0488,-69.285,122.462,4.1,mb,"105 km SE of Diego de Almagro, Chile"
us6000mijr,2024-03-13 09:30:04.955,-18.5627,-69.3029,108.901,5.3,mww,"84 km N of Camiña, Chile"
us6000miq9,2024-03-13 22:10:23.091,-19.72,-71.0084,19.859,4.8,mb,"104 km WNW of Puerto, Chile"
us6000miqd,2024-03-13 22:10:34.219,-19.7124,-71.2587,20.044,5.0,mww,"128 km WNW of Puerto, Chile"
us6000miqc,2024-03-13 22:14:58.868,-19.7616,-71.0452,23.536,4.3,mb,"106 km WNW of Puerto, Chile"
us6000miqf,2024-03-13 22:38:03.303,-19.7551,-71.0371,21.908,4.3,mb,"105 km WNW of Puerto, Chile"
us6000miqg,2024-03-13 22:50:12.624,-19.7291,-71.0624,25.326,4.4,mb,"109 km WNW of Puerto, Chile"
us6000miqh,2024-03-13 23:05:04.208,-19.7072,-71.0479,8.933,4.6,mwr,"109 km WNW of Puerto, Chile"
us6000mitr,2024-03-14 13:12:49.970,-51.7362,-74.2313,9.203,4.4,mb,"119 km W of Puerto Natales, Chile"
us6000mj4t,2024-03-15 17:54:37.408,-24.195,-67.3916,199.261,4.0,mb,"109 km W of San Antonio de los Cobres, Argentina"
us6000mj93,2024-03-16 09:38:29.962,-24.1276,-66.9854,194.706,4.2,mb,"68 km W of San Antonio de los Cobres, Argentina"
us6000mjb0,2024-03-16 17:58:02.357,-20.7394,-66.6929,238.184,4.2,mb,"33 km SSE of Uyuni, Bolivia"
us6000mjk0,2024-03-18 09:23:31.823,-20.3634,-69.2107,119.546,4.3,mb,"46 km E of La Tirana, Chile"
us6000mjnm,2024-03-18 21:52:28.805,-20.7171,-69.3184,90.446,4.1,mb,"55 km SE of La Tirana, Chile"
us6000mjpc,2024-03-19 00:01:07.115,-27.3734,-69.7213,116.591,4.1,mb,"60 km E of Copiapó, Chile"
us6000mjyq,2024-03-20 11:07:28.626,-31.2012,-70.8429,99.927,4.0,mb,"57 km NNE of Illapel, Chile"
us6000mk96,2024-03-21 13:56:14.998,-20.8538,-69.0262,117.033,4.5,mb,"87 km SE of La Tirana, Chile"
us6000mk9i,2024-03-21 16:09:18.816,-25.8185,-71.0677,11.081,3.9,mwr,"74 km SW of Taltal, Chile"
us6000mkc9,2024-03-21 21:16:59.307,-30.0237,-71.7852,40.187,4.2,mb,"43 km W of Coquimbo, Chile"
us6000mkha,2024-03-22 13:39:21.309,-33.7307,-72.5527,10.0,4.2,mb,"88 km W of San Antonio, Chile"
us6000mkrg,2024-03-23 14:29:25.410,-24.3352,-67.2587,186.452,4.7,mb,"96 km W of San Antonio de los Cobres, Argentina"
us6000mks5,2024-03-23 17:23:16.741,-22.2059,-70.4007,25.585,3.9,mwr,"24 km WSW of Tocopilla, Chile"
us6000mksn,2024-03-23 19:36:12.204,-24.2484,-67.1116,167.874,4.3,mb,"80 km W of San Antonio de los Cobres, Argentina"
us6000mkv2,2024-03-23 23:11:53.360,-28.9504,-70.4353,104.057,4.5,mb,"52 km SE of Vallenar, Chile"
us6000mkvs,2024-03-24 02:08:14.748,-21.1588,-68.6372,143.52,4.3,mb,"40 km W of Ollagüe, Chile"
